timestamp,target,u_star,offset,pulse,ground_truth,vlm_direction,correct,laser_visible,on_target,confidence,reasoning,image
2026-07-15T23:48:45,the polar bear plush toy,331,8,339,right,unknown,False,True,True,high,"The laser dot is on the left side of the polar bear plush toy, directly overlapping its body.",captures/e1/bear/q001_off+8_rep8.jpg
2026-07-15T23:48:49,the polar bear plush toy,331,8,339,right,unknown,False,True,True,high,The laser dot is directly touching the polar bear plush toy's body.,captures/e1/bear/q002_off+8_rep2.jpg
2026-07-15T23:48:53,the polar bear plush toy,331,-1,330,left,unknown,False,True,True,high,The laser dot is on the polar bear plush toy's body.,captures/e1/bear/q003_off-1_rep2.jpg
2026-07-15T23:48:57,the polar bear plush toy,331,-3,328,left,unknown,False,True,True,high,"The laser dot is on the left side of the polar bear plush toy's face, clearly overlapping it.",captures/e1/bear/q004_off-3_rep11.jpg
2026-07-15T23:49:01,the polar bear plush toy,331,18,349,right,right,True,True,False,high,"The laser dot is on the wall to the left of the polar bear plush toy, and they do not overlap.",captures/e1/bear/q005_off+18_rep8.jpg
2026-07-15T23:49:05,the polar bear plush toy,331,-12,319,left,left,True,True,False,high,The laser dot is to the right of the polar bear plush toy on the wall and does not overlap.,captures/e1/bear/q006_off-12_rep0.jpg
2026-07-15T23:49:09,the polar bear plush toy,331,12,343,right,right,True,True,False,high,"The laser dot is on the wall to the left of the polar bear plush toy, not overlapping.",captures/e1/bear/q007_off+12_rep1.jpg
2026-07-15T23:49:13,the polar bear plush toy,331,-18,313,left,left,True,True,False,high,"The laser dot is visible on the wall above the bed and to the right of the polar bear plush toy, with no overlap.",captures/e1/bear/q008_off-18_rep5.jpg
2026-07-15T23:49:17,the polar bear plush toy,331,8,339,right,unknown,False,True,True,high,"The laser dot is on the body of the polar bear plush toy, directly overlapping it.",captures/e1/bear/q009_off+8_rep9.jpg
2026-07-15T23:49:21,the polar bear plush toy,331,-18,313,left,unknown,False,False,False,high,The laser dot is not visible in the image.,captures/e1/bear/q010_off-18_rep2.jpg
2026-07-15T23:49:25,the polar bear plush toy,331,1,332,right,unknown,False,True,True,high,The laser dot is directly touching the polar bear plush toy's face.,captures/e1/bear/q011_off+1_rep0.jpg
2026-07-15T23:49:29,the polar bear plush toy,331,12,343,right,right,True,True,False,high,"The laser dot is on the wall next to the polar bear plush toy, but not directly touching it.",captures/e1/bear/q012_off+12_rep2.jpg
2026-07-15T23:49:32,the polar bear plush toy,331,1,332,right,unknown,False,True,True,high,The laser dot is directly touching the polar bear plush toy's head.,captures/e1/bear/q013_off+1_rep2.jpg
