timestamp,target,u_star,offset,pulse,ground_truth,vlm_direction,correct,laser_visible,on_target,confidence,reasoning,image
2026-07-16T00:01:21,the blue folder,308,25,333,right,right,True,True,False,high,"The laser dot is on the teddy bear, while the blue folder is leaning against the wall; they do not overlap.",captures/e1/folder/q001_off+25_rep6.jpg
2026-07-16T00:01:25,the blue folder,308,-2,306,left,right,False,True,False,high,"The laser dot is on the bed, slightly to the left of the blue folder and not overlapping it.",captures/e1/folder/q002_off-2_rep9.jpg
2026-07-16T00:01:29,the blue folder,308,-8,300,left,unknown,False,True,True,high,The laser dot is directly touching the blue folder on the bed.,captures/e1/folder/q003_off-8_rep11.jpg
2026-07-16T00:01:32,the blue folder,308,-3,305,left,unknown,False,True,True,high,The laser dot is directly on the blue folder and they overlap.,captures/e1/folder/q004_off-3_rep10.jpg
2026-07-16T00:01:36,the blue folder,308,-3,305,left,unknown,False,True,True,high,"The laser dot is on the blue folder, clearly overlapping its body.",captures/e1/folder/q005_off-3_rep9.jpg
2026-07-16T00:01:39,the blue folder,308,8,316,right,unknown,False,True,True,high,"The laser dot is on the blue folder's body, overlapping with it.",captures/e1/folder/q006_off+8_rep1.jpg
2026-07-16T00:01:43,the blue folder,308,-18,290,left,left,True,True,False,high,"The laser dot is on the bed to the right of the blue folder, and they do not overlap.",captures/e1/folder/q007_off-18_rep4.jpg
2026-07-16T00:01:46,the blue folder,308,1,309,right,unknown,False,True,True,high,"The laser dot is visible on the blue folder, indicating overlap.",captures/e1/folder/q008_off+1_rep3.jpg
2026-07-16T00:01:50,the blue folder,308,-18,290,left,left,True,True,False,high,"The laser dot is on the bed to the right of the blue folder, and they do not overlap.",captures/e1/folder/q009_off-18_rep10.jpg
2026-07-16T00:01:54,the blue folder,308,-18,290,left,left,True,True,False,high,"The laser dot is on the bed to the right of the blue folder, and they do not overlap.",captures/e1/folder/q010_off-18_rep8.jpg
2026-07-16T00:01:58,the blue folder,308,-8,300,left,unknown,False,True,True,high,The laser dot is just to the right of the blue folder and touching it.,captures/e1/folder/q011_off-8_rep4.jpg
2026-07-16T00:02:01,the blue folder,308,-25,283,left,left,True,True,False,high,The laser dot is on a bed surface to the right of the blue folder and not overlapping.,captures/e1/folder/q012_off-25_rep11.jpg
