timestamp,scene,object,strategy,rep,initial_estimate_x,initial_pulse,u_star,final_pulse,terminal_error,iterations,stop_reason,history,initial_image,final_image
2026-07-16T19:07:22,scene1,tissuebox,bisection,7,280,318,306,318,12,2,invisible,"[{""pulse"": 318, ""out"": ""invisible""}, {""pulse"": 318, ""out"": ""invisible""}]",captures/e2/scene1/tissuebox_bisection_r7_initial.jpg,captures/e2/scene1/tissuebox_bisection_r7_final.jpg
2026-07-16T19:07:25,scene1,folder,open,5,560,271,267,271,4,1,open_loop,[],captures/e2/scene1/folder_open_r5_initial.jpg,captures/e2/scene1/folder_open_r5_final.jpg
2026-07-16T19:07:50,scene1,slipper,halving,6,360,304,295,295,0,6,on_target,"[{""pulse"": 304, ""dir"": ""right"", ""on"": false, ""vis"": true}, {""pulse"": 289, ""dir"": ""right"", ""on"": false, ""vis"": true}, {""pulse"": 274, ""dir"": ""left"", ""on"": false, ""vis"": true}, {""pulse"": 281, ""dir"": ""left"", ""on"": false, ""vis"": true}, {""pulse"": 288, ""dir"": ""left"", ""on"": false, ""vis"": true}, {""pulse"": 295, ""dir"": ""unknown"", ""on"": true, ""vis"": true}]",captures/e2/scene1/slipper_halving_r6_initial.jpg,captures/e2/scene1/slipper_halving_r6_iter6.jpg
2026-07-16T19:07:57,scene1,tissuebox,halving,5,240,325,306,310,4,2,on_target,"[{""pulse"": 325, ""dir"": ""right"", ""on"": false, ""vis"": true}, {""pulse"": 310, ""dir"": ""unknown"", ""on"": true, ""vis"": true}]",captures/e2/scene1/tissuebox_halving_r5_initial.jpg,captures/e2/scene1/tissuebox_halving_r5_iter2.jpg
2026-07-16T19:08:09,scene1,bowl,bisection,8,240,325,326,321,5,2,on_target,"[{""pulse"": 325, ""out"": ""right""}, {""pulse"": 321, ""out"": ""on_target""}]",captures/e2/scene1/bowl_bisection_r8_initial.jpg,captures/e2/scene1/bowl_bisection_r8_final.jpg
2026-07-16T19:08:16,scene1,bear,bisection,5,520,278,278,278,0,1,on_target,"[{""pulse"": 278, ""out"": ""on_target""}]",captures/e2/scene1/bear_bisection_r5_initial.jpg,captures/e2/scene1/bear_bisection_r5_final.jpg
2026-07-16T19:08:31,scene1,slipper,bisection,6,320,311,295,292,3,3,on_target,"[{""pulse"": 311, ""out"": ""right""}, {""pulse"": 302, ""out"": ""right""}, {""pulse"": 290, ""out"": ""on_target""}]",captures/e2/scene1/slipper_bisection_r6_initial.jpg,captures/e2/scene1/slipper_bisection_r6_final.jpg
2026-07-16T19:09:27,scene1,bottle,halving,6,440,291,288,277,11,16,max_iters,"[{""pulse"": 291, ""dir"": ""right"", ""on"": false, ""vis"": true}, {""pulse"": 276, ""dir"": ""right"", ""on"": false, ""vis"": true}, {""pulse"": 262, ""dir"": ""left"", ""on"": false, ""vis"": true}, {""pulse"": 269, ""dir"": ""unknown"", ""on"": false, ""vis"": false}, {""pulse"": 269, ""dir"": ""right"", ""on"": false, ""vis"": true}, {""pulse"": 266, ""dir"": ""right"", ""on"": false, ""vis"": true}, {""pulse"": 263, ""dir"": ""unknown"", ""on"": false, ""vis"": false}, {""pulse"": 263, ""dir"": ""right"", ""on"": false, ""vis"": true}, {""pulse"": 262, ""dir"": ""left"", ""on"": false, ""vis"": true}, {""pulse"": 265, ""dir"": ""right"", ""on"": false, ""vis"": true}, {""pulse"": 262, ""dir"": ""left"", ""on"": false, ""vis"": true}, {""pulse"": 265, ""dir"": ""left"", ""on"": false, ""vis"": true}, {""pulse"": 268, ""dir"": ""left"", ""on"": false, ""vis"": true}, {""pulse"": 271, ""dir"": ""unknown"", ""on"": false, ""vis"": false}, {""pulse"": 271, ""dir"": ""left"", ""on"": false, ""vis"": true}, {""pulse"": 274, ""dir"": ""left"", ""on"": false, ""vis"": true}]",captures/e2/scene1/bottle_halving_r6_initial.jpg,captures/e2/scene1/bottle_halving_r6_iter16.jpg
2026-07-16T19:09:30,scene1,bottle,open,2,400,298,288,298,10,1,open_loop,[],captures/e2/scene1/bottle_open_r2_initial.jpg,captures/e2/scene1/bottle_open_r2_final.jpg
2026-07-16T19:10:13,scene1,bottle,bisection,4,360,304,288,290,2,11,on_target,"[{""pulse"": 304, ""out"": ""right""}, {""pulse"": 300, ""out"": ""left""}, {""pulse"": 304, ""out"": ""right""}, {""pulse"": 300, ""out"": ""right""}, {""pulse"": 297, ""out"": ""right""}, {""pulse"": 295, ""out"": ""right""}, {""pulse"": 294, ""out"": ""right""}, {""pulse"": 291, ""out"": ""right""}, {""pulse"": 290, ""out"": ""right""}, {""pulse"": 288, ""out"": ""left""}, {""pulse"": 290, ""out"": ""on_target""}]",captures/e2/scene1/bottle_bisection_r4_initial.jpg,captures/e2/scene1/bottle_bisection_r4_final.jpg
